expected_output,actual_output,bleu1,bleu4,meteor,rouge
A dust pan and brush,A dust-pan and brush.,,,,1.0
A dust pan and brush,A dust-pan and brush.,,0.12574334296829354,,
A dust pan and brush,A dust-pan and brush.,,,0.5111111111111111,
A dust pan and brush,A dust-pan and brush.,0.6,,,
A dust pan and brush,A dust-pan.,,,,0.7499999999999999
A dust pan and brush,A dust-pan.,,0.05833544737207805,,
A dust pan and brush,A dust-pan.,,,0.10416666666666666,
A dust pan and brush,A dust-pan.,0.17113903967753066,,,
A dust pan and brush,Dust-pan and brush.,,,,0.888888888888889
A dust pan and brush,Dust-pan and brush.,,0.13232169883599026,,
A dust pan and brush,Dust-pan and brush.,,,0.38265306122448983,
A dust pan and brush,Dust-pan and brush.,0.38940039153570244,,,
A dust pan and brush,A dust-pan and brush.,,,,1.0
A dust pan and brush,A dust-pan and brush.,,0.12574334296829354,,
A dust pan and brush,A dust-pan and brush.,,,0.5111111111111111,
A dust pan and brush,A dust-pan and brush.,0.6,,,
A dust pan and brush,A dust-pan and brush.,,,,1.0
A dust pan and brush,A dust-pan and brush.,,0.12574334296829354,,
A dust pan and brush,A dust-pan and brush.,,,0.5111111111111111,
A dust pan and brush,A dust-pan and brush.,0.6,,,
A dust pan and brush,Her dust-pan and brush.,,,,0.8000000000000002
A dust pan and brush,Her dust-pan and brush.,,0.11362193664674995,,
A dust pan and brush,Her dust-pan and brush.,,,0.37500000000000006,
A dust pan and brush,Her dust-pan and brush.,0.4,,,
A dust pan and brush,Her dust-pan and brush.,,,,0.8000000000000002
A dust pan and brush,Her dust-pan and brush.,,0.11362193664674995,,
A dust pan and brush,Her dust-pan and brush.,,,0.37500000000000006,
A dust pan and brush,Her dust-pan and brush.,0.4,,,
A dust pan and brush,A dust-pan and brush.,,,,1.0
A dust pan and brush,A dust-pan and brush.,,0.12574334296829354,,
A dust pan and brush,A dust-pan and brush.,,,0.5111111111111111,
A dust pan and brush,A dust-pan and brush.,0.6,,,
A dust pan and brush,A dust-pan and brush.,,,,1.0
A dust pan and brush,A dust-pan and brush.,,0.12574334296829354,,
A dust pan and brush,A dust-pan and brush.,,,0.5111111111111111,
A dust pan and brush,A dust-pan and brush.,0.6,,,
A dust pan and brush,Dust-pan.,,,,0.5714285714285715
A dust pan and brush,Dust-pan.,,0,,
A dust pan and brush,Dust-pan.,,,0.0,
A dust pan and brush,Dust-pan.,0,,,
An advanced race,The Dweller.,,,,0.0
An advanced race,The Dweller.,,0,,
An advanced race,The Dweller.,,,0.0,
An advanced race,The Dweller.,0,,,
An advanced race,The Dweller.,,,,0.0
An advanced race,The Dweller.,,0,,
An advanced race,The Dweller.,,,0.0,
An advanced race,The Dweller.,0,,,
An advanced race,The Dweller.,,,,0.0
An advanced race,The Dweller.,,0,,
An advanced race,The Dweller.,,,0.0,
An advanced race,The Dweller.,0,,,
An advanced race,Advanced race.,,,,0.8
An advanced race,Advanced race.,,0.24028114141347542,,
An advanced race,Advanced race.,,,0.625,
