expected_output,actual_output,BLEU-1,BLEU-4,METEOR,ROUGE-L
A dust pan and brush,A dust-pan and brush.,0.17113903967753066,0.05833544737207805,0.10416666666666666,0.7499999999999999
A dust pan and brush,A dust-pan.,0.38940039153570244,0.13232169883599026,0.38265306122448983,0.888888888888889
A dust pan and brush,Dust-pan and brush.,0.6,0.12574334296829354,0.5111111111111111,1.0
A dust pan and brush,A dust-pan and brush.,0.6,0.12574334296829354,0.5111111111111111,1.0
A dust pan and brush,A dust-pan and brush.,0.4,0.11362193664674995,0.37500000000000006,0.8000000000000002
A dust pan and brush,Her dust-pan and brush.,0.4,0.11362193664674995,0.37500000000000006,0.8000000000000002
A dust pan and brush,Her dust-pan and brush.,0.6,0.12574334296829354,0.5111111111111111,1.0
A dust pan and brush,A dust-pan and brush.,0.6,0.12574334296829354,0.5111111111111111,1.0
A dust pan and brush,A dust-pan and brush.,0.0,0.0,0.0,0.5714285714285715
A dust pan and brush,Dust-pan.,0.0,0.0,0.0,0.0
An advanced race,The Dweller.,0.0,0.0,0.0,0.0
An advanced race,The Dweller.,0.0,0.0,0.0,0.0
An advanced race,The Dweller.,0.6666666666666666,0.24028114141347542,0.625,0.8
An advanced race,Advanced race.,0.6666666666666666,0.24028114141347542,0.625,0.8
An advanced race,Advanced race.,0.0,0.0,0.0,0.0
An advanced race,The Dweller.,0.0,0.0,0.0,0.0
An advanced race,The Dweller.,0.0,0.0,0.0,0.0
An advanced race,The Dweller.,0.0,0.0,0.0,0.0
An advanced race,The Dweller.,0.0,0.0,0.0,0.0
An advanced race,The Dweller.,0.25523656890884816,0.02929627862265703,0.24313725490196078,0.33333333333333337
Because Fletch is posing as a junkie for an article for the Los Angelos Times.,Fletch thinks Stanwyk is a junkie because Stanwyk assumes,0.4039231756892703,0.08703654235438914,0.4094799210006583,0.30769230769230765
Because Fletch is posing as a junkie for an article for the Los Angelos Times.,Stanwyk thinks Fletch is a junkie because he is posing as,0.4039231756892703,0.08703654235438914,0.4094799210006583,0.30769230769230765
Because Fletch is posing as a junkie for an article for the Los Angelos Times.,Stanwyk thinks Fletch is a junkie because he is posing as,0.25523656890884816,0.06856346714060817,0.31633986928104574,0.33333333333333337
Because Fletch is posing as a junkie for an article for the Los Angelos Times.,Stanwyk thinks Fletch is a junkie because Fletch is,0.25523656890884816,0.02929627862265703,0.24313725490196078,0.33333333333333337
Because Fletch is posing as a junkie for an article for the Los Angelos Times.,Fletch thinks Stanwyk is a junkie because Stanwyk assumes,0.2308132432510116,0.035783648460675284,0.24193548387096775,0.30769230769230765
Because Fletch is posing as a junkie for an article for the Los Angelos Times.,Stanwyk thinks Fletch is a junkie due to his undercover investigation,0.4039231756892703,0.08703654235438914,0.4094799210006583,0.30769230769230765
Because Fletch is posing as a junkie for an article for the Los Angelos Times.,Stanwyk thinks Fletch is a junkie because he is posing as,0.4039231756892703,0.04554775181964649,0.4094799210006583,0.30769230769230765
Because Fletch is posing as a junkie for an article for the Los Angelos Times.,Stanwyk thinks Fletch is a junkie because he's posing as,0.4039231756892703,0.04554775181964649,0.4094799210006583,0.30769230769230765
Because Fletch is posing as a junkie for an article for the Los Angelos Times.,Stanwyk thinks Fletch is a junkie because he's posing as,0.21952465443761057,0.016380632785140823,0.12987012987012989,0.25
Because Fletch is posing as a junkie for an article for the Los Angelos Times.,Fletch suspects Stanwyk's cancer claim is a lie.,0.5,0.1495348781221221,0.45454545454545453,1.0
Peru,Peru.,0.5,0.1495348781221221,0.45454545454545453,1.0
Peru,Peru.,0.5,0.1495348781221221,0.45454545454545453,1.0
Peru,Peru.,0.5,0.1495348781221221,0.45454545454545453,1.0
Peru,Peru.,0.5,0.1495348781221221,0.45454545454545453,1.0
Peru,Peru.,0.5,0.1495348781221221,0.45454545454545453,1.0
Peru,Peru.,0.5,0.1495348781221221,0.45454545454545453,1.0
Peru,Peru.,0.5,0.1495348781221221,0.45454545454545453,1.0
Peru,Peru.,0.5,0.1495348781221221,0.45454545454545453,1.0
